,title,price,link
10,"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","70,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5OTEwNDczMjAyNzY5OjE3MjQ3NzA1ODA6c3BfYXRmX25leHQ6MzAwMTY3MDg5NDU5MzMyOjowOjo&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_82_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770580%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
11,"HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.4Kg), Gray  ","51,990",https://amazon.in//MagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint/dp/B0CXLN6D7W/ref=sr_1_83?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-83
12,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","16,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_13?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TBlkZXf4JpKArY0V4NO25nXjZq0m0pBV0VbT-8aiM5to6Zb9cOJn4FALYqhred9TbJywiLLeicS6xAuZFR11Fcttnuc2aHobiB_npPFpq-3gq5xNgYWFiWBa1iGAA_ZwDRGf7XRNvvKElyzqOlQ4ryp0zobSGK_T0TqDmL_aTLLYboIrB2tc3o36j8kDeQziEOVpQdV2VLukE26tN7Pmu3M.bLohFjOIvJDARsMofkzfTPtj4sM4AghlVCdILQUajJo&dib_tag=se&keywords=laptop&qid=1724770541&sprefix=lap%2Caps%2C295&sr=8-13
13,"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN  ","47,990",https://amazon.in//Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_84?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-84
14,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","99,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS/dp/B0CHMXTF6S/ref=sr_1_85?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-85
15,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black  ","19,400",https://amazon.in//HP-255-G9-Notebook-Silver-3050U/dp/B0C8VF4DL5/ref=sr_1_86?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-86
16,"HP Laptop 15, AMD Ryzen 5 7520U, 15.6-inch (39.6 cm), FHD, 8GB LPDDR5, 512GB SSD, Thin & light, AMD Radeon graphics, Backlit KB, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fc0028AU  ","39,780",https://amazon.in//HP-15-6-inch-Graphics-Speakers-fc0028AU/dp/B0BZYTPPZF/ref=sr_1_87?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-87
17,"HP Laptop 15, 12th Gen i5-1235U, 15.6-inch (39.6 cm), FHD, Anti-glare, 8GB DDR4, 512GB SSD, Intel Iris Xá¶± Graphics, Backlit Keyboard, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5007TU  ","47,999.",https://amazon.in//HP-i5-1235U-15-6-inch-Anti-Glare-15s-fy5007TU/dp/B0CJBP38HR/ref=sr_1_88?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-88
18,"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim  ","22,310",https://amazon.in//Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4BN7B6/ref=sr_1_89?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-89
19,"Dell Inspiorn 5630 Laptop, Intel 13th Gen i7-1360P Processor, 16GB LP DDR5, 1TB SSD, 16.0"" FHD+ 300 nits Display, Backlit KB + FPR, Win 11 + MSO'21 & 15 Month, Silver, Thin & Light- 1.85kg McAfee,  ","91,739",https://amazon.in//Dell-Inspiorn-i7-1360P-Processor-Display/dp/B0CX1T4HKC/ref=sr_1_90?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-90
20,"(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor, 16 GB Ram & 128 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M1000M (2GB Graphic Card) Laptop  ","35,390",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5OTEwNDczMjAyNzY5OjE3MjQ3NzA1ODA6c3BfbXRmOjMwMDE1MzkyOTcyNDUzMjo6MDo6&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDBF68D%2Fref%3Dsr_1_91_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770580%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
21,"(Refurbished) Fujitsu Laptop H770 Intel QuadCore i7-7th Gen Xeon E3-1505M V6 @ 3.0 Ghz Processor4GB Nvidia Quadro M2200 Graphic (32GB RAM/256GB SSD/15.6"" FHD (1080p)/Win 10/BT/ Numeric Keypad/ Silver)  ","29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5OTEwNDczMjAyNzY5OjE3MjQ3NzA1ODA6c3BfbXRmOjMwMDI4NjM3MDE3NjIzMjo6MDo6&url=%2FRefurbished-Fujitsu-QuadCore-E3-1505M-Processor4GB%2Fdp%2FB0DC45K6LW%2Fref%3Dsr_1_92_sspa%3Fcrid%3DAF3XJAA5C7OS%26dib%3DeyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724770580%26sprefix%3Dlap%252Caps%252C295%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
22,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","38,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_93?crid=AF3XJAA5C7OS&dib=eyJ2IjoiMSJ9.j4_wX7CcA156nfutDa-f7Me4W4a9R_2S55exD9-r91CGcEoQk-1Uiv8z9Pxosrioy6rl7ovG00a_ph6tHmEIm6AvejS1XfrksO1hdmYSlvLXXrkn6WIKSC-OIERoEbgaCLe8erSYphWyTE5QvmdETk_YPk8vMw82QjGwdpcYQW_-a_AFPzxec5-W67cHE8Z2JdLE3ZqbRi8y9oHkpJb95ej7QSRD_oknK9AUt7iFApg.QuZl4vWkoqwYrpBk2Wp9H7qSg2lJBjPnIPU1GmEUXME&dib_tag=se&keywords=laptop&qid=1724770580&sprefix=lap%2Caps%2C295&sr=8-93
